"genus","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn"
"Jaaginema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptolyngbya","Cyanophyceae","Oscillatoriaceae","Leptolyngbya","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","862","189418","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Limnothrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Planktolyngbya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudanabaena","Cyanophyceae","Nostocaceae","Pseudanabaena","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1099","1175","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romeria","Cyanophyceae","Oscillatoriaceae","Romeria","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","862","1078","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spirulina","Cyanophyceae","Oscillatoriaceae","Spirulina","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","862","1053","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eucapsis","Cyanophyceae","Chroococcaceae","Eucapsis","Bacteria","Chroococcales","Cyanobacteria","Negibacteria","602","604","812","50","603","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanodictyon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemmermaniella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
